Kleidung:
eaglkes_wwi_fr_pilot_cloth; (brauner Ganzkörperanzug mit weißem Schall)
eaglkes_wwi_ger_pilot_cloth; (grauer Ganzkörperanzug mit weißerm Schall)
rds_uniform_priest; (Priesterkleidung)
rds_uniform_Profiteer1; (Joggingshose mit grauer Strickjacke)
rds_uniform_Profiteer2; (Joggingshose mit blauer Strickjacke)
rds_uniform_Profiteer3; (Joggingshose mit brauner Strickjacke)
rds_uniform_Profiteer4; (Joggingshose mit orangkarierter Strickjacke)
sab_SikorskyS38_Man_Shirt; (graues T-Shirt mit beiger Hose)
rds_uniform_schoolteacher; (langer blauer Mantel mit schwarzer Hose)
rds_uniform_Villager1; (Holzfäller Hemd mit blauer Hose)
rds_uniform_Villager2; (gelbes Holzfäller Hemd mit blauer Hose)
rds_uniform_Villager3; (grünes Holzfäller Hemd mit brauner Hose)
rds_uniform_Villager4; (weißes Holzfäller Hemd mit beiger Hose)
rds_uniform_Woodlander1; (osteuropäischer Stile)
rds_uniform_Woodlander2; (")
rds_uniform_Woodlander3; (")
rds_uniform_Woodlander4; (")
rds_uniform_Worker1; (Leiharbeiter Kleidung)
rds_uniform_Worker2; (")
rds_uniform_Worker3; (")
rds_uniform_Worker4; (")
TRYK_B_TRYK_3C_T    T-Shirt hose mit wüstentan
TRYK_B_AssaultPack_UCP				rucksack / klein / ucp
TRYK_B_Coyotebackpack_BLK			rucksack / groß / schwarz
TRYK_B_Coyotebackpack				rucksack / groß / coyote
TRYK_B_Coyotebackpack_OD			rucksack / groß / grün
TRYK_B_Coyotebackpack_WH			rucksack / groß / weiß
TRYK_B_Carryall_JSDF				rucksack / groß / waldtan
TRYK_B_Carryall_blk					rucksack / groß / schwarz
TRYK_B_Carryall_wh					rucksack / groß / weiß
TRYK_B_Carryall_wood				rucksack / groß / woodland
TRYK_B_FieldPack_Wood				rucksack / feldpack / woodland
TRYK_B_Kitbag_aaf					rucksack / aaf braun
TRYK_B_Kitbag_blk					rucksack / schwarz
TRYK_B_Kitbag_Base					rucksack / dunkel grün
TRYK_B_Kitbag_Base_JSDF				rucksack / waldtan
TRYK_B_Medbag						rucksack / coyote / medic
TRYK_B_Medbag_BK					rucksack / schwarz / medic
TRYK_B_Medbag_OD					rucksack / grün / medic
TRYK_B_Medbag_ucp					rucksack / ucp / medic
TRYK_B_BAF_BAG_BLK					rucksack / schwarz / kabelbinder
TRYK_B_BAF_BAG_CYT					rucksack / coyote / kabelbinder
TRYK_B_BAF_BAG_mcamo				rucksack / mtp / kabelbinder
TRYK_B_BAF_BAG_OD					rucksack / grün / kabelbinder
TRYK_B_BAF_BAG_rgr					rucksack dunkel grün / kabelbinder
TRYK_B_tube_blk						rucksack / waffentasche / klein / schwarz
TRYK_B_tube_cyt						rucksack / waffentasche / klein / coyote
TRYK_B_tube_od						rucksack / waffentasche / klein 7 grün
TRYK_Winter_pack					rucksack / schneetan
CUP_B_UAVTerminal_Black				rucksack / schwarz / antenne
CUP_B_AssaultPack_ACU				rucksack / ucp / klein
CUP_B_AssaultPack_Black				rucksack / schwarz / klein
CUP_B_AssaultPack_Coyote			rucksack / coyote / klein
CUP_B_USPack_Black					rucksack / groß / schwarz 
CUP_B_USPack_Coyote					rucksack / groß / coyote
CUP_B_USMC_AssaultPack				rucksack / grün
CUP_B_USMC_MOLLE					rucksack / waldtan
CUP_B_USMC_MOLLE_WDL				rucksack / woodland
ace_gunbag							waffentasche / grün
ace_gunbag_Tan						waffentasche / coyote

!Kopfbedeckungen!

EWK_CigPack_Helmet          Helm mit Zigarettenpackung Schneetarn Camel
EWK_CigPack_Helmet_OCP      Helm mit Zigarettenpackung  Tropentarn  Camel
EWK_CigPack_Helmet2         Helm mit Zigarettenpackung  Schneetarn Marlboro
EWK_CigPack_Helmet2_OCP     Helm mit Zigarettenpackung Tropentarn Marlboro
sab_wwiplanes_fr_cap        Fliegermütze Rot
sab_wwiplanes_ger_cap       Fliegermütze Grau
rds_police_cap              Polizeimütze Grün
rds_Profiteer_cap4          Blauweiße Mütze
rds_Profiteer_cap2          Hellgrüne Tennismütze
rds_Profiteer_cap1          Orangene Mütze
rds_Profiteer_cap3          Styler Mütze
sab_SikorskyS38_cap         Sikorsky S38 Mütze hellblau
TRYK_Kio_Balaclava          Ghosts Balaclava
TRYK_H_Bandana_H            Grünes Stirnband
TRYK_H_Bandana_wig          Grünes Stirnbrand mit Perrücke
TRYK_H_Bandana_wig_g        Grünes Stirnbrand mit Perrücke mit Brille
TRYK_H_Booniehat_AOR1       Hut Sandtarn
TRYK_H_Booniehat_AOR2       Hut Hellgrün
TRYK_H_Booniehat_CC         Gut Schlammtarn
TRYK_H_Booniehat_MARPAT_Desert  Sandtarn Trocken
TRYK_H_Booniehat_MARPAT_WOOD   Wald mit Braun
TRYK_H_Booniehat_JSDF       Waldtarn Cammo
TRYK_H_Booniehat_WOOD       Waldtarn mit Sandtarn 
TRYK_H_EARMUFF              Kopfhörer
TRYK_ESS_CAP                Kopfhörer mit schwarzer Mütze
TRYK_ESS_CAP_OD             Kopfhörer mit grüner Mütze
TRYK_ESS_CAP_tan            Kopfhörer mit Sand Mütze
TRYK_H_ghillie_top_headless3   Obeerkörperghillie sand
TRYK_H_ghillie_over_green      Ganzkörperghillie grün
TRYK_H_ghillie_top_green       Oberkörperghillie mit Kopf hellgrün
TRYK_H_ghillie_top_headless_green  Oberkörperghillie hellgrün
TRYK_H_ghillie_over             Ganzkörperghillie sand
TRYK_H_ghillie_top              Oberkörperghillie mit Kopf sand
TRYK_H_ghillie_top_headless     Oberkörperghillie sand
TRYK_H_headset2                 schwarzes Einohrheadset 
TRYK_H_headsetcap_Glasses       Sandmütze mit Brille
TRYK_H_headsetcap_blk_Glasses   Schwarzemütze mit Brille
TRYK_H_headsetcap_od_Glasses    Grünemütze mit Brille
TRYK_H_headsetcap_blk           schwarzes Einohrheadset mit Schwarzermütze
TRYK_H_headsetcap_od            schwarzes Einohrheadset mit Grünermütze
TRYK_H_headsetcap               schwarzes Einohrheadset mit Sandmütze
TRYK_H_AOR1                     Sandfarbender Kampfhelm
TRYK_H_AOR2                     Tropentarnkampfhelm
TRYK_H_GR                       Grünerkampfhelm
TRYK_H_Helmet_3C                MICH Sandtarn
TRYK_H_Helmet_CC                Mich Sumpftarn
TRYK_H_Helmet_MARPAT_Desert     MICH Sandtarn
TRYK_H_Helmet_MARPAT_Desert2    MICH Sandtarn
TRYK_H_Helmet_MARPAT_Wood       MICH Waldtarn
TRYK_H_Helmet_ACU               MICH Schneetarn
TRYK_H_Helmet_WOOD              MICH Waldtarn 
TRYK_H_pakol2                   Taliban Mütze
TRYK_H_pakol                    Taliban Mütze mit Headset
TRYK_H_PASGT_BLK                Kampfhelm schwarz
TRYK_H_PASGT_COYO               Kampfhelm braun
TRYK_H_PASGT_OD                 Kampfhelm grün
TRYK_H_PASGT_TAN                Kampfhelm sand
TRYK_H_DELTAHELM_NV             Kampfhelm Schwarz
TRYK_R_CAP_BLK                  Schwarze Mütze
TRYK_R_CAP_TAN                  Sandfarbende Mütze
TRYK_r_cap_blk_Glasses          Schwarze Mütze mit Brille
TRYK_r_cap_od_Glasses           Grüne Mütze mit Brille
TRYK_r_cap_tan_Glasses          Sandtarnmütze mit Brille
TRYK_H_Helmet_Snow              Schneetarn Kampfhelm
TRYK_H_WH                       Schneetarn Kampfhelm
TRYK_H_TACEARMUFF_H             Headset 
TRYK_H_Helmet_JSDF              Kampfhelm in Waldtarn
TRYK_H_wig                      Perrücke
TRYK_H_Helmet_Winter            Schneetarn Kampfhelm
TRYK_H_Helmet_Winter_2          Schneetarn Kampfhelm  
TRYK_H_woolhat                  Schwarze Wollmütze
TRYK_H_woolhat_br               Braune Wollmütze
TRYK_H_woolhat_cu               Hellgrüne Wollmütze
TRYK_H_woolhat_CW               Schneetarn Wollmütze
TRYK_H_woolhat_tan              Sandfarbene Wollmütze
TRYK_H_woolhat_WH               Weiße Wollmütze
rds_Woodlander_cap3             Braunrussische Wollmütze
rds_Woodlander_cap1             Rosarussische Wollmütze
rds_Woodlander_cap2             Grünrussische Wollmütze
rds_Woodlander_cap4             Hellbraunerussische Wollmütze
rds_Villager_cap3               Lila Tallibanhut
rds_Villager_cap1               Schwarzer Tallibanhut
rds_Villager_cap2               Brauner Tallibanhut
rds_Villager_cap4               Karrierter Tallibanhut
rds_worker_cap3                 Lila Tallibanmütze
rds_worker_cap4                 Brauner Tallibanmütze
rds_worker_cap2                 Gelbe Tallibanmütze
rds_worker_cap1                 Weiße Tallibanmütze


!Brillen!
EWK_Cigar1                      Zigarre
EWK_Cigar2                      Zigarre mit Brille
EWK_Cig1                        Zigarrette 
EWK_Glasses_Cig1                Zigarrette mit Brille
EWK_Cig2                        Abgebrannte Zigarrette   
EWK_Glasses_Cig2                Abgebrannte Zigarrette mit Brille   
EWK_Cig5                        Abgebrannte Zigarrette 
EWK_Glasses_Cig5                Abgebrannte Zigarrette mit Brille
EWK_Cig6                        Brennende Zigarrette
EWK_Glasses_Cig6                Bernnende Zigarrette mit Brille
EWK_Shemag_NB_Cig6              Weißes Halstuch mit Zigarrette
EWK_Shemag_GRE_Cig6             Grünes Halstuch mit Zigarrette
EWK_Shemag_tan_Cig6             Braunes Halstuch mit Zigarrette
EWK_Glasses_Shemag_NB_Cig6      Bernnende Zigarrette mit Brille mit Weißem Halstuch
EWK_Glasses_Shemag_GRE_Cig6     Bernnende Zigarrette mit Brille mit grünem Halstuch
EWK_Glasses_Shemag_tan_Cig6     Bernnende Zigarrette mit Brille mit braunem Halstuch
EWK_Cig3                        Abgebrannte Zigarrette 
EWK_Glasses_Cig3                Abgebrannte Zigarrette mit Brille
EWK_Cig4                        Brennende Zigarrette
EWK_Glasses_Cig4                Bernnende Zigarrette mit Brille
EWK_Shemag_NB                   Weißes Halstuch
EWK_Shemag_LULZ                 Hello Kitty Halstuch
EWK_Shemag_GRE                  Grünes Halstuch
EWK_Shemag_tan                  Braunes Halstuch
TRYK_kio_balaclava_BLK          Schwarzes Balaclava
TRYK_kio_balaclavas             Ghost Balaclava
TRYK_kio_balaclava_WH           Weißes Balaclava
TRYK_kio_balaclava_BLK_ear      Schwarzes Balaclava mit Kopfhörer
TRYK_kio_balaclava_ear          Ghost Balaclava mit Kopfhörer
TRYK_kio_balaclava_ESS          Schwarzes Balaclava mit Brille
TRYK_bandana_g                  Grünes Bandana
TRYK_Beard_BK                   Taliban Bart Schwarz
TRYK_Beard                      Taliban Bart Blond
TRYK_Beard_BW                   Taliban Bart Braun
TRYK_Beard_Gr                   Taliban Bart Weiß
TRYK_Beard_BK2                  Taliban Bart Schwarz
TRYK_Beard2                     Taliban Bart Blond
TRYK_Beard_BW2                  Taliban Bart Braun
TRYK_Beard_Gr2                  Taliban Bart Weiß
TRYK_Beard_BK3                  Taliban Bart Schwarz
TRYK_Beard3                     Taliban Bart Blond
TRYK_Beard_BW3                  Taliban Bart Braun
TRYK_Beard_Gr3                  Taliban Bart Weiß
TRYK_Beard_BK4                  Taliban Bart Schwarz
TRYK_Beard4                     Taliban Bart Blond
TRYK_Beard_BW4                  Taliban Bart Braun
TRYK_Beard_Gr4                  Taliban Bart Weiß
TRYK_US_ESS_Glasses             Taucherbrille Schwarz
TRYK_US_ESS_Glasses_TAN_BLK     Taucherbrille Sandfarben
TRYK_US_ESS_Glasses_BLK         Taucherbrille Schwarz
TRYK_US_ESS_Glasses_TAN         Taucherbrille Sandfarben
TRYK_US_ESS_Glasses_WH          Taucherbrille Weiß
TRYK_H_ghillie_top_headless3glass   Ghillie Jacke
TRYK_headset2_glasses           Einohrheadset
TRYK_headset_Glasses            Headset
TRYK_Shemagh_mesh               Braunes Halstuch
TRYK_Shemagh_G                  Grünes Halstuch
TRYK_Shemagh                    Hellbraunes Halstuch
TRYK_Shemagh_WH                 Weißes Halstuch mit Kopfhörer
TRYK_Shemagh_EAR_G              Grünes Halstuch mit Kopfhörer
TRYK_Shemagh_EAR_WH             Weißes Halstuch mit Kopfhörer
TRYK_Shemagh_ESS_G              Grünes Halstuch
TRYK_Shemagh_ESS                Braunes Halstuch mit Taucherbrille
TRYK_Shemagh_ESS_WH             Weißes Halstuch mit Taucherbrille
TRYK_Shemagh_shade_MH           Braunes Halstuch mit Brille
TRYK_Shemagh_shade_G            Grünes Halstuch mit Brille
TRYK_Shemagh_shade_WH           Weißes Halstuch mit Brille
TRYK_shoulder_armor_BK          Schwarzes Schulterpolzter
TRYK_shoulder_armor_CY          Braunes Schulterpolzter
TRYK_shoulder_armor_OD          Grünes Schulterpolzter
TRYK_SpsetG_Glasses             Rauchgranate, Handschuh, Knicklicht
TRYK_SPGEAR_Glasses             Rauchgranate, Knicklicht
TRYK_Spset_PHC1_Glasses         Rauchgranate, Knicklicht, Kabelbinder 
TRYK_Spset_PHC2_Glasses         Rauchgranate, Knicklicht, Kabelbinder 
TRYK_TAC_EARMUFF_Gs             Headset
TRYK_TAC_SET_bn                 Kopfhörer
TRYK_NOMIC_TAC_EARMUFF_Gs       Kopfhörer
TRYK_TAC_EARMUFF_SHADE_Gs       Headset mit Brille
TRYK_TAC_SET_MESH_2             Headset mit Brille braunes Halstuch und Rauchgranate, Knicklicht, Kabelbinder 
TRYK_TAC_SET_OD_2               Headset mit Brille grünes Halstuch und Rauchgranate, Knicklicht, Kabelbinder
TRYK_TAC_SET_TAN_2              Headset mit Brille braunes Halstuch und Rauchgranate, Knicklicht, Kabelbinder                   
TRYK_TAC_SET_WH_2               Headset mit Brille weißes Halstuch und Rauchgranate, Knicklicht, Kabelbinder  
TRYK_TAC_SET_MESH               Headset mit Brille braunes Halstuch                 
TRYK_TAC_SET_OD                 Headset mit Brille grünes Halstuch
TRYK_TAC_SET_TAN                Headset mit Brille braunes Halstuch
TRYK_TAC_SET_WH                 Headset mit Brille weißes Halstuch 

!Nachtsichtgerät!
CUP_NVG_PVS7                    Nachtsichtgerät
TRYK_G_bala_wh_NV               Weiße Skimaske
TRYK_balaclava_BLACK_NV         Schwarze Skimaske
TRYK_balaclava_NV               Weiße Skimaske
TRYK_balaclava_BLACK_EAR_NV     Schwarze Skimaske mit Kopfhörer
TRYK_balaclava_EAR_NV           Ghosts Skimaske mit Kopfhörer
TRYK_G_bala_ess_NV              Schwarze Skimaske mit Brille
TRYK_bandana_NV                 Grünes Stirnband
TRYK_Headphone_NV               Kopfhörer
TRYK_US_ESS_Glasses_Cover       Brillenhülle
TRYK_US_ESS_Glasses_NV          Kampfbrille
TRYK_ESS_BLKTAN_NV              Sandfarbene Brille       
TRYK_US_ESS_Glasses_TAN_NV      Sandfarbene Brille 
TRYK_ESS_wh_NV                  Weiße Brille
TRYK_ESS_BLKBLK_NV              Schwarze Brille
TRYK_headset2                   Einohrheadset
TRYK_Headset_NV                 Headset
TRYK_G_Shades_Black_NV          Schwarze Brille
TRYK_G_Shades_Blue_NV           Blaue Brille
TRYK_Shemagh_MESH_NV            Braunes Halstuch 
TRYK_Shemagh_G_NV               Grünes Halstuch
TRYK_Shemagh_TAN_NV             Braunes Halstuch
TRYK_Shemagh_WH_NV              Weißes Halstuch
TRYK_Shemagh_EAR_G_NV           Grünes Halstuch mit Kopfhöhrern
TRYK_Shemagh_EAR_NV             Braunes Halstuch mit Kopfhöhrern
TRYK_ShemaghESSWH_NV            Weißes Halstuch mit Kopfhöhrern
TRYK_ShemaghESSOD_NV            Grüneshalstuch
TRYK_ShemaghESSTAN_NV           Braunes Halstuch mit Kampfbrille
TRYK_Shemagh_EAR_WH_NV          Weißes Halstuch mit Kampfbrille
TRYK_Shemagh_shade_MESH         Braunes Halstuch mit Brille
TRYK_Shemagh_shade_G_N          Grünes Halstuch mit Brille
TRYK_Shemagh_shade_N            Braunes Halstuch mit Brille
TRYK_Shemagh_shade_WH_N         Weißes Halstuch mit Brille
TRYK_SPgearG_NV                 Rauchgranate, Handschuh, Knicklicht
TRYK_SPgear_PHC1_NV             Rauchgranate, Knicklicht, Kabelbinder 
TRYK_SPgear_PHC2_NV             Rauchgranate, Knicklicht, Kabelbinder 
TRYK_HRPIGEAR_NV                Rauchgranate, Knicklicht
TRYK_TAC_boonie_SET_NV          Kopfhöhrer
TRYK_NOMIC_TAC_EARMUFF          Kopfhöhrer
TRYK_TAC_EARMUFF                Headset
TRYK_TAC_EARMUFF_SHADE          Headset mit Brille
TRYK_TAC_SET_NV_MESH_2          Headset mit Brille braunes Halstuch und Rauchgranate, Knicklicht, Kabelbinder 
TRYK_TAC_SET_NV_OD_2            Headset mit Brille grünes Halstuch und Rauchgranate, Knicklicht, Kabelbinder 
TRYK_TAC_SET_NV_TAN_2           Headset mit Brille braunes Halstuch und Rauchgranate, Knicklicht, Kabelbinder
TRYK_TAC_SET_NV_WH_2            Headset mit Brille weißes Halstuch und Rauchgranate, Knicklicht, Kabelbinder
TRYK_TAC_SET_NV_MESH            Headset mit Brille braunes Halstuch
TRYK_TAC_SET_NV_OD              Headset mit Brille grünes Halstuch
TRYK_TAC_SET_NV_TAN             Headset mit Brille braunes Halstuch
TRYK_TAC_SET_NV_WH              Headset mit Brille weißes Halstuch
